"gyros_belt_x","gyros_belt_y","gyros_belt_z","magnet_belt_x","magnet_belt_y","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_y","gyros_arm_z","magnet_arm_x","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","accel_forearm_x","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
-0.02,0.02,0,1,602,-130,19.7,-162,34,-0.02,-0.02,-366,508,13.29883416,-70.28683115,-85.01527601,37,-0.02,-68,26,-63.9,-150,36,0.02,-0.02,192,-216,-12,652,464,"A"
-0.02,0.02,0,-3,601,-130,19.7,-162,34,-0.03,-0.02,-370,506,13.13073959,-70.63750507,-84.71064711,37,-0.02,-65,26,-63.9,-150,36,0.03,0,191,-214,-10,655,469,"A"
0.02,0,-0.02,2,593,-130,19.6,-162,34,-0.02,0,-366,513,13.40681541,-70.60607434,-84.66896285,37,-0.02,-68,25.8,-63.8,-149,36,0.03,0,194,-214,-16,653,462,"A"
0.02,0,-0.03,-2,597,-130,19.6,-162,34,-0.02,-0.03,-371,508,13.13771445,-71.41795984,-83.93197331,37,0,-61,25.5,-63.8,-149,36,0.02,0,195,-216,-15,657,460,"A"
0,0,-0.02,1,597,-130,19.5,-162,34,-0.02,-0.02,-372,515,13.76151374,-70.32648299,-84.85114062,36,-0.02,-74,25.4,-63.8,-149,36,0,-0.02,193,-215,-10,656,461,"A"
0,0,-0.03,-7,604,-130,19.4,-162,34,-0.02,-0.02,-367,505,13.099337,-70.07065749,-85.28282245,37,-0.02,-67,25,-63.8,-149,36,0.02,0,191,-216,-11,656,473,"A"
0,0,-0.03,0,601,-130,19.4,-162,34,-0.02,-0.03,-369,505,13.2,-70.4,-84.9,37,-0.02,-61,24.9,-63.8,-149,36,0.02,0,190,-216,-10,653,467,"A"
0,0,-0.03,-2,605,-130,19.4,-162,34,-0.02,-0.03,-371,508,13.71142288,-70.75201249,-84.4415855,37,-0.02,-66,24.9,-63.8,-149,36,0.02,-0.02,192,-217,-12,653,475,"A"
0,0,-0.02,-8,599,-130,19.3,-162,34,0,-0.02,-364,533,13.43498726,-70.78431067,-84.4840986,37,-0.02,-65,24.9,-63.8,-149,36,0,-0.03,192,-215,-15,651,474,"A"
0.02,0,-0.02,-3,599,-130,19.2,-162,34,-0.02,-0.03,-365,518,14.27102761,-71.46548346,-83.57624877,37,-0.02,-67,24.9,-63.8,-149,36,0,-0.02,190,-216,-20,660,476,"A"
0.03,0,-0.02,-4,596,-130,19.2,-162,34,-0.02,-0.02,-370,519,13.58004112,-71.02860105,-84.20204033,37,-0.02,-71,25,-63.8,-149,36,0,-0.03,193,-215,-11,649,477,"A"
0.02,0,-0.02,2,597,-131,19.1,-162,34,-0.02,-0.02,-369,513,13.40681541,-70.60607434,-84.66896285,37,-0.02,-52,24.9,-63.8,-149,36,0,-0.02,190,-214,-16,655,472,"A"
0,0,-0.02,-4,598,-131,19,-162,34,-0.02,0,-368,518,13.65784101,-70.78551893,-84.42283544,37,-0.02,-63,24.9,-63.8,-149,36,-0.02,-0.03,194,-215,-17,650,463,"A"
0,0,-0.02,2,598,-131,19,-162,34,-0.02,0,-372,521,13.41047767,-70.99594236,-84.28004856,37,0,-70,24.9,-63.8,-149,36,0,-0.02,192,-211,-22,660,477,"A"
0,0,-0.02,-2,600,-131,19,-162,34,-0.03,0,-368,510,13.10320545,-70.45974712,-84.89472246,37,0,-77,24.9,-63.8,-149,36,0.02,-0.03,192,-213,-13,655,477,"A"
0,0,-0.02,-5,599,-131,18.9,-162,34,-0.03,0,-375,525,13.15834491,-70.81598707,-84.52580163,37,-0.02,-65,25,-63.8,-149,36,0.02,-0.03,191,-213,-16,663,467,"A"
0,0,-0.02,-6,606,-131,18.9,-162,34,-0.02,-0.02,-374,511,13.37871611,-70.42855971,-84.85305745,37,-0.02,-70,25,-63.8,-149,36,0.02,-0.02,192,-214,-12,649,476,"A"
0,0,-0.03,-7,603,-131,18.8,-162,34,-0.02,0,-369,514,13.40681541,-70.60607434,-84.66896285,37,-0.02,-54,25,-63.7,-149,36,0.03,-0.02,187,-215,-13,655,471,"A"
0,0,-0.02,-6,609,-131,18.8,-162,34,-0.02,0,-365,504,13.10320545,-70.45974712,-84.89472246,37,-0.02,-68,25,-63.7,-149,36,0.02,0,192,-216,-11,667,475,"A"
0,0,-0.03,-3,605,-131,18.8,-162,34,-0.02,0,-368,510,13.38245941,-70.81758832,-84.46500278,37,-0.02,-69,24.9,-63.7,-149,36,0.02,0,190,-215,-22,654,475,"A"
0,0,-0.03,-3,599,-131,18.6,-162,34,-0.02,-0.02,-373,511,13.15834491,-70.81598707,-84.52580163,37,-0.03,-63,24.8,-63.7,-149,36,0.02,-0.02,193,-214,-16,657,471,"A"
0,0,-0.03,-3,598,-131,18.6,-162,34,-0.02,-0.03,-363,513,13.32663754,-70.46303572,-84.83261299,37,-0.03,-64,24.8,-63.7,-149,36,0.02,0,193,-213,-17,652,472,"A"
0,0,-0.03,-3,601,-131,18.6,-162,34,-0.02,-0.02,-363,518,13.15834491,-70.81598707,-84.52580163,37,-0.03,-64,24.8,-63.7,-149,36,0.02,-0.02,194,-212,-13,657,473,"A"
0,0,-0.03,-6,595,-131,18.5,-162,34,-0.02,-0.03,-364,507,12.88149984,-70.84703902,-84.56669062,37,-0.03,-64,24.8,-63.6,-149,36,0.02,-0.02,191,-214,-10,655,475,"A"
0.02,0,-0.02,1,601,-131,18.5,-162,34,-0.03,-0.02,-371,526,13.38245941,-70.81758832,-84.46500278,37,-0.03,-55,24.8,-63.6,-149,36,0.02,0,193,-213,-17,656,471,"A"
0.02,0,-0.02,-9,597,-131,18.4,-162,34,-0.02,-0.02,-371,510,12.88493577,-71.23827887,-84.17631287,37,-0.03,-53,24.6,-63.6,-149,36,0.02,0.03,190,-213,-13,655,467,"A"
0,0,-0.02,-6,605,-131,18.4,-162,34,-0.02,-0.02,-364,510,13.43498726,-70.78431067,-84.4840986,37,-0.03,-69,24.5,-63.7,-149,36,0.02,0.05,195,-215,-15,652,472,"A"
0.02,0,-0.03,-1,602,-131,18.2,-162,34,-0.02,-0.02,-370,515,13.63302557,-70.99624864,-84.21990017,37,-0.02,-58,23.6,-63.9,-148,36,0,0.05,193,-211,-7,656,468,"A"
0.02,0,-0.02,-2,604,-131,18.2,-162,34,-0.02,0,-372,510,13.00511957,-70.91432223,-84.46784499,37,-0.02,-70,23.5,-63.9,-148,36,0.02,0.02,195,-212,-6,653,469,"A"
0.02,0,-0.02,-1,606,-131,18.1,-162,34,-0.02,0,-368,513,12.22402703,-70.19486698,-85.38055864,37,-0.03,-65,23.4,-63.8,-147,36,0.05,0,195,-210,-6,648,466,"A"
0.02,0,-0.03,-8,602,-131,18.1,-162,34,-0.03,-0.02,-369,510,12.9,-70.5,-85,37,-0.02,-51,23.4,-63.8,-147,36,0.06,0,192,-213,-5,653,475,"A"
0.02,0,-0.02,6,598,-131,18.1,-162,34,-0.02,0,-367,510,13.35451266,-70.63995378,-84.64918975,37,-0.02,-67,23.4,-63.7,-147,36,0.06,-0.02,193,-213,-10,653,465,"A"
0.02,0,-0.03,-3,608,-131,18,-162,34,-0.03,0,-367,523,13.10320545,-70.45974712,-84.89472246,37,-0.02,-60,23.4,-63.7,-147,36,0.05,-0.03,191,-213,-10,654,463,"A"
0.02,0,-0.03,-7,602,-131,17.9,-162,34,-0.02,0.02,-368,516,13.33033728,-70.85058796,-84.44601983,37,-0.02,-66,23.4,-63.6,-147,36,0.05,-0.02,189,-217,-9,656,476,"A"
0.02,0,-0.02,-5,604,-131,17.9,-162,34,-0.02,0,-376,517,12.85797711,-71.0587115,-84.36200309,37,-0.02,-71,23.4,-63.6,-147,36,0.03,-0.02,192,-214,-5,656,462,"A"
0.02,0,-0.03,1,600,-131,17.9,-162,34,-0.02,0,-366,515,13.15834491,-70.81598707,-84.52580163,37,-0.02,-63,23.4,-63.5,-147,36,0.03,-0.03,194,-214,-12,658,468,"A"
0.02,0,-0.02,-6,597,-131,17.8,-162,34,-0.02,-0.02,-372,516,12.83108713,-70.87987135,-84.54692154,37,-0.02,-53,23.5,-63.4,-147,36,0.05,-0.06,192,-213,-9,657,473,"A"
0.02,0,-0.03,0,602,-131,17.8,-162,34,-0.02,-0.02,-367,507,12.75445697,-70.73491752,-84.71075185,37,-0.02,-67,23.5,-63.4,-147,36,0.05,-0.05,189,-213,-12,652,467,"A"
0.03,0,-0.03,-11,597,-131,17.8,-162,34,-0.02,-0.02,-373,517,13.05579987,-70.88181726,-84.48704755,37,-0.02,-67,23.7,-63.3,-147,36,0.05,-0.05,191,-215,-21,658,467,"A"
0.03,0,-0.02,2,602,-131,17.7,-162,34,-0.02,-0.02,-368,514,12.80059675,-70.31304585,-85.11886321,37,-0.02,-63,23.7,-63.2,-147,36,0.02,-0.02,190,-215,-15,656,470,"A"
0.03,0,-0.02,-3,607,-131,17.7,-162,34,-0.02,0,-370,511,13.08303562,-71.05981082,-84.30278931,37,-0.02,-54,23.7,-63.2,-147,36,0,-0.02,190,-215,-15,661,462,"A"
0.02,0,-0.03,0,605,-131,17.7,-162,34,-0.02,-0.02,-370,511,12.80426595,-70.70175536,-84.73107178,37,-0.02,-55,23.7,-63.3,-147,36,-0.02,-0.03,195,-213,-11,653,463,"A"
0,0,-0.03,-3,601,-131,17.7,-162,34,-0.03,-0.02,-370,525,12.78106438,-70.91243032,-84.52727342,37,-0.02,-63,23.6,-63.3,-147,36,0.02,-0.02,194,-212,-12,653,472,"A"
0.02,0,-0.03,-4,601,-131,17.6,-162,34,-0.02,0,-368,523,12.0244618,-70.75700408,-84.86920748,37,-0.02,-71,23.6,-63.2,-147,36,0,-0.02,191,-214,-15,662,462,"A"
0.02,0,-0.03,3,600,-131,17.6,-162,34,-0.02,0,-365,513,12.80426595,-70.70175536,-84.73107178,37,-0.03,-70,23.6,-63.3,-147,36,0,0,193,-215,-20,663,464,"A"
0.02,0,-0.03,-5,608,-131,17.6,-162,34,-0.02,-0.02,-369,514,12.77751367,-70.52436046,-84.91445734,37,-0.02,-62,23.6,-63.3,-147,36,0,-0.02,191,-213,-14,660,477,"A"
0.02,0,-0.03,-12,601,-131,17.5,-162,34,-0.02,-0.02,-367,506,12.78106438,-70.91243032,-84.52727342,37,-0.02,-71,23.6,-63.3,-147,36,0.02,-0.02,191,-212,-18,655,472,"A"
0.02,0,-0.03,-3,599,-131,17.5,-162,34,-0.02,0,-372,515,12.5743532,-70.30805328,-85.18112668,37,-0.02,-70,23.6,-63.3,-147,36,0.02,-0.02,191,-213,-16,653,471,"A"
0.02,0,-0.02,-4,605,-131,17.4,-162,34,-0.02,0,-365,514,12.80773972,-71.09066201,-84.34303267,37,-0.02,-64,23.6,-63.3,-147,36,0,-0.03,190,-213,-10,662,461,"A"
0.02,0,-0.03,-7,598,-131,17.4,-162,34,-0.02,0,-368,512,12.47653742,-70.3771972,-85.13677002,37,-0.02,-60,23.6,-63.3,-147,36,0,-0.02,192,-213,-9,657,472,"A"
0.02,0,-0.03,-4,604,-131,17.3,-162,34,-0.03,0,-371,512,12.27185896,-70.15975885,-85.40379472,37,-0.02,-71,23.6,-63.3,-147,36,0.02,-0.03,193,-212,-16,654,468,"A"
0,0,-0.03,1,606,-131,17.2,-162,34,-0.02,0,-367,513,12.82370572,-70.1009715,-85.32397096,37,-0.02,-56,23.6,-63.3,-147,36,0.02,-0.03,192,-214,-10,662,469,"A"
0,0,-0.02,-3,606,-132,17.1,-162,34,0,-0.03,-369,510,13.30261297,-70.67355141,-84.62953444,37,-0.02,-73,23.6,-63.3,-147,36,0,0.02,190,-216,-17,659,468,"A"
0,0,-0.02,-1,598,-132,17.1,-163,34,0,-0.03,-369,527,12.77751367,-70.52436046,-84.91445734,37,-0.02,-69,23.5,-63.3,-147,36,0,0.02,192,-214,-19,659,462,"A"
0.02,0,-0.02,-5,601,-132,17.1,-163,34,0,-0.03,-368,515,12.57798757,-70.69850444,-84.79157034,37,-0.02,-72,23.3,-63.4,-147,36,0,0,191,-213,-12,644,462,"A"
0.02,0,-0.03,-5,598,-132,17.1,-163,34,0,-0.03,-367,525,12.25323852,-70.76108375,-84.8097078,37,-0.02,-69,23.2,-63.4,-147,36,0,0.02,191,-215,-13,656,479,"A"
0.02,0,-0.03,-2,602,-132,17.1,-163,34,-0.02,-0.03,-358,518,12.42819346,-70.41134345,-85.11480144,37,-0.02,-65,23.1,-63.4,-147,36,0.02,0.02,194,-212,-9,655,467,"A"
0.02,0,-0.03,1,605,-132,17.1,-163,34,-0.02,-0.02,-367,510,12.77751367,-70.52436046,-84.91445734,37,0,-72,23,-63.4,-147,36,0.02,0,190,-214,-7,657,463,"A"
0.02,0,-0.02,-8,606,-132,17,-163,34,-0.02,-0.03,-365,507,12.47653742,-70.3771972,-85.13677002,37,0,-64,22.8,-63.5,-146,36,0,0.02,193,-213,-4,651,466,"A"
0.02,0,-0.02,-6,599,-132,17,-163,34,-0.02,-0.02,-370,513,12.54787837,-70.13067278,-85.36429634,37,0,-70,22.8,-63.5,-146,36,0,0,193,-214,-10,660,472,"A"
0.02,0,-0.02,-3,596,-132,17,-163,34,-0.02,-0.02,-363,515,12.55158748,-70.52027361,-84.97560794,37,-0.02,-70,22.7,-63.5,-146,36,0.02,-0.02,195,-214,-9,656,468,"A"
0.02,0.02,-0.02,-2,605,-132,17,-163,34,-0.02,-0.03,-362,517,12.80426595,-70.70175536,-84.73107178,37,-0.02,-69,22.7,-63.5,-146,36,0.02,-0.02,192,-215,-7,653,463,"A"
0.02,0,-0.03,-3,605,-132,16.9,-163,34,0,-0.03,-374,520,13.38245941,-70.81758832,-84.46500278,37,-0.02,-56,22.6,-63.5,-146,36,0.02,0,191,-213,-12,650,468,"A"
0.02,0,-0.03,-1,606,-132,16.9,-163,34,0,-0.03,-368,511,12.82749458,-70.49031927,-84.93557392,37,-0.02,-72,22.5,-63.5,-146,36,0.02,0,192,-215,-12,654,457,"A"
0.02,0,-0.03,-1,599,-132,16.9,-163,34,0,-0.02,-365,514,13.02493063,-70.31756075,-85.05658246,37,-0.02,-66,22.5,-63.5,-146,36,0.02,0.02,192,-215,-10,656,462,"A"
0.02,0,-0.03,-5,607,-132,16.9,-163,34,0,-0.02,-361,513,12.50265881,-70.55410345,-84.95416453,37,-0.02,-49,22.4,-63.5,-146,36,0.02,0,191,-213,-10,655,471,"A"
0.02,0,-0.02,-3,604,-132,16.9,-163,34,0,-0.02,-365,517,12.45048376,-70.20100811,-85.31861742,37,-0.02,-61,22.3,-63.5,-146,36,0.02,0,193,-215,-11,655,468,"A"
0.02,0,-0.02,-3,606,-132,16.7,-163,34,-0.02,0,-358,521,12.25323852,-70.76108375,-84.8097078,37,-0.02,-51,22.1,-63.5,-146,36,0.02,0,196,-212,-17,650,464,"A"
0,0,0,1,598,-133,16.6,-163,34,-0.02,-0.02,-361,515,12.72421627,-70.1717217,-85.2789485,37,0,-70,22.2,-63.4,-146,36,0.02,0,192,-214,-7,655,473,"A"
0,0,0,-7,600,-133,16.6,-163,34,0,-0.02,-365,511,13.02493063,-70.31756075,-85.05658246,37,-0.02,-69,22.3,-63.4,-146,37,0.03,-0.06,202,-213,-7,654,470,"A"
-0.02,0,0.02,1,607,-133,16.5,-163,34,-0.02,-0.03,-365,512,13.13073959,-70.63750507,-84.71064711,37,-0.02,-68,22.3,-63.4,-146,36,0,-0.02,193,-215,-12,654,468,"A"
0,0,0,-1,603,-133,16.5,-163,34,-0.02,-0.02,-364,510,13.32663754,-70.46303572,-84.83261299,37,-0.02,-71,22.4,-63.4,-146,36,0,-0.03,189,-215,-10,655,463,"A"
0,0,0,-2,604,-133,16.4,-163,34,0,-0.02,-369,507,13.04835112,-70.10639112,-85.26057697,37,0,-67,22.3,-63.4,-146,36,0,0,190,-216,-4,648,464,"A"
0,0,-0.03,-8,599,-133,16.4,-163,34,-0.02,-0.02,-372,517,13.00153631,-70.52797703,-84.85328202,37,-0.02,-74,22.1,-63.5,-146,36,-0.02,0.02,196,-214,-12,656,469,"A"
-0.02,0,-0.05,-2,598,-133,16.4,-163,34,-0.02,-0.02,-361,523,13.07948887,-70.67116245,-84.69053461,37,-0.02,-52,22.1,-63.5,-146,36,-0.02,-0.03,195,-215,-9,655,469,"A"
-0.02,0,-0.05,-6,612,-133,16.3,-163,34,-0.02,-0.02,-362,518,13.07574259,-70.28271016,-85.07803122,37,-0.02,-72,22.1,-63.5,-146,36,-0.03,-0.02,191,-213,-12,659,471,"A"
0,0,-0.05,-8,603,-133,16.2,-163,34,-0.02,0,-362,519,12.29776333,-70.33736693,-85.22064473,37,0,-70,21.9,-63.6,-146,36,0,-0.02,192,-213,-11,659,465,"A"
0,0.02,-0.02,-9,606,-133,16.2,-163,34,-0.02,-0.02,-363,519,12.55158748,-70.52027361,-84.97560794,37,-0.02,-54,21.9,-63.6,-146,37,0.02,-0.02,199,-216,-16,659,460,"A"
0,0,-0.02,2,606,-133,16.1,-163,34,-0.02,-0.02,-367,511,11.71925996,-70.21607571,-85.48029537,37,0,-70,21.7,-63.7,-146,36,0,0.02,192,-213,-10,654,470,"A"
0,0.02,-0.02,-3,605,-133,16,-163,34,-0.02,-0.02,-368,514,13.37476825,-70.03973325,-85.24085475,37,0,-67,21.5,-63.7,-146,36,0.02,0,191,-214,-17,651,470,"A"
